Distancia (m)	RSSI TX1 (dB)	RSSI TX2 (dB)  RSSI TX3 (dB)	RSSI TX4 (dB)
0		-40		-52		-52		-42
1		-57		-57		-62		-65
2		-68		-58		-73		-70
3		-70		-67		-68		-72
4		-74		-72		-72		-70
5		-76		-81		-79		-78
6		-70		-80		-83		-75
7		-75		-85		-75		-80
8		-82		-82		-82		-71
9		-76		-83		-89		-72
10		-77		-77		-75		-72
11		-80		-87		-80		-78
12		-74		-71		-70		-76
13		-61		-76		-67		-70
14		-66		-73		-75		-70
15		-69		-71		-70		-80
16		-68		-75		-68		-72
17		-66		-77		-66		-73
18		-75		-80		-74		-70
19		-75		-82		-84		-84
20		-81		-84		-82		-75
21		-76		-79		-77		-74
22		-76		-84		-85		-76
23		-80		-83		-88		-81
24		-80		-74		-77		-79
25		-73		-77		-78		-76
26		-76		-89		-89		-90
27		-84		-87		-83		-82
28		-84		-83		-83		-85
29		-71		-80		-77		-84
30		-90		-93		-95		-87
31		-85		-93		-94		-86
32		-91		-95		-94		-90
33		-95		-94		-100		-96
