Distancia (m)	RSSI TX1 (dB)	RSSI TX2 (dB)	RSSI TX3 (dB)	RSSI TX4 (dB)
0		-29		-46		-44		-29
1		-55		-47		-55		-46
2		-57		-67		-57		-56
3		-69		-70		-67		-52
4		-69		-67		-67		-69
5		-72		-76		-76		-68
6		-76		-76		-76		-72
7		-74		-73		-76		-75
8		-76		-71		-100		-79
9		-82		-77		-100		-82
10		-80		-83		-100		-69
11		-74		-81		-100		-72
12		-82		-81		-100		-82
13		-80		-73		-100		-82
14		-70		-76		-100		-71
15		-75		-73		-100		-68
16		-86		-71		-100		-76
17		-80		-80		-100		-73
18		-74		-75		-100		-74
19		-86		-94		-100		-76
20		-87		-85		-100		-92
21		-96		-93		-100		-97
22		-100		-96		-100		-100
23		-100		-100		-100		-100
24		-100		-100		-100		-100
25		-100		-100		-100		-100
26		-100		-100		-100		-100
27		-100		-100		-100		-100
28		-100		-100		-100		-100
29		-100		-100		-100		-100
30		-100		-100		-100		-100
31		-100		-100		-100		-100
32		-100		-100		-100		-100
33		-100		-100		-100		-100
